PBA_ID,partido_pdo,nombre_partido,partida,C,S,MZ,PA,SP,TI
PBA_1,4,Avellaneda,56779,2,P,27,22,,3
PBA_2,30,Esteban Etcheberría,80392,5,F,54,4,,1
PBA_3,30,Esteban Etcheberría,102560,2,C,97,23,,1
PBA_4,45,Gral. Pueyrredón,18828,2,MZ:,PA:,319,,1
PBA_5,46,Gral Rodriguez,82643,5,F,24,1,,1
PBA_6,46,Gral Rodriguez,82659,5,F,31,2,,1
PBA_7,46,Gral Rodriguez,82675,5,F,32,2,,1
PBA_8,46,Gral Rodriguez,82667,5,F,31,10,,1
PBA_9,46,Gral Rodriguez,82668,5,F,31,11,,1
PBA_10,46,Gral Rodriguez,82656,5,F,24,14,,1
PBA_11,46,Gral Rodriguez,82657,5,F,24,15,,1
PBA_12,72,Merlo,479,3,D,PA:,1,,1
PBA_13,72,Merlo,1046,3,D,PA:,3,,1
PBA_14,72,Merlo,19598,3,D,PA:,4,,1
PBA_15,72,Merlo,999,3,D,PA:,6,,1
PBA_16,72,Merlo,712,3,D,PA:,7,,1
PBA_17,72,Merlo,467,3,D,PA:,SP:,,1
PBA_18,72,Merlo,98586,3,D,PA:,SP:,,1
PBA_19,74,Moreno,117825,3,G,2,5,,3
PBA_20,74,Moreno,121170,3,G,2,6,,3
PBA_21,74,Moreno,121173,3,G,3,1,,3
PBA_22,74,Moreno,121174,3,G,3,2,,3
PBA_23,74,Moreno,121175,3,G,3,3,,3
PBA_24,74,Moreno,121176,3,G,3,4,,3
PBA_25,74,Moreno,121177,3,G,3,5,,3
PBA_26,74,Moreno,121179,3,G,3,7,,3
PBA_27,74,Moreno,121180,3,G,3,8,,3
PBA_28,74,Moreno,121181,3,G,3,9,,1
PBA_29,74,Moreno,121183,3,G,4,3,,3
PBA_30,74,Moreno,121184,3,G,4,4,,3
PBA_31,74,Moreno,121185,3,G,4,5,,3
PBA_32,74,Moreno,121186,3,G,4,6,,3
PBA_33,74,Moreno,123154,3,G,5,5,,3
PBA_34,74,Moreno,123156,3,G,5,7,,3
PBA_35,74,Moreno,123157,3,G,5,8,,3
PBA_36,74,Moreno,123158,3,G,5,9,,3
PBA_37,74,Moreno,123159,3,G,6,1,,3
PBA_38,74,Moreno,123160,3,G,6,2,,3
PBA_39,74,Moreno,123161,3,G,6,3,,3
PBA_40,74,Moreno,123162,3,G,6,4,,3
PBA_41,74,Moreno,123163,3,G,6,5,,3
PBA_42,74,Moreno,123166,3,G,6,8,,3
PBA_43,74,Moreno,123167,3,G,6,9,,3
PBA_44,74,Moreno,117803,3,G,7,8,,1
PBA_45,74,Moreno,117806,3,G,7,11,,3
PBA_46,74,Moreno,117807,3,G,7,12,,1
PBA_47,74,Moreno,117808,3,G,7,13,,3
PBA_48,74,Moreno,117812,3,G,8,2,,3
PBA_49,74,Moreno,117813,3,G,8,3,,1
PBA_50,74,Moreno,117814,3,G,8,4,,3
PBA_51,74,Moreno,117815,3,G,8,5,,3
PBA_52,74,Moreno,117816,3,G,8,6,,3
PBA_53,74,Moreno,117817,3,G,8,7,,1
PBA_54,74,Moreno,117819,3,G,8,9,,3
PBA_55,74,Moreno,117820,3,G,8,10,,1
PBA_56,74,Moreno,117821,3,G,8,11,,3
PBA_57,74,Moreno,117822,3,G,8,12,,3
PBA_58,74,Moreno,117823,3,G,8,13,,3
PBA_59,74,Moreno,138359,3,G,9,17,,1
PBA_60,74,Moreno,138371,3,G,9,22,,3
PBA_61,74,Moreno,117630,3,CH,PA:,89,,1
PBA_62,97,San Isidro,22048,3,H,558,6,,3
PBA_63,97,San Isidro,14008,1,A,97,8,,1
PBA_64,124,Pinamar,5046,4,E,447,2,,1
PBA_65,124,Pinamar,4876,4,E,437,14,,1
PBA_66,131,San Miguel,71996,2,N,61,6,,3
PBA_67,131,San Miguel,71997,2,N,61,7,,3
PBA_68,131,San Miguel,71998,2,N,61,8,,3
PBA_69,131,San Miguel,71999,2,N,61,9,,3
PBA_70,131,San Miguel,72000,2,N,61,10,,3
PBA_71,131,San Miguel,72002,2,N,61,12,,3
PBA_72,131,San Miguel,72004,2,N,61,14,,3
PBA_73,131,San Miguel,72005,2,N,61,15,,3
PBA_74,131,San Miguel,72006,2,N,61,16,,3
PBA_75,131,San Miguel,72012,2,N,62,1,,3
PBA_76,131,San Miguel,72013,2,N,62,2,,3
PBA_77,131,San Miguel,72014,2,N,62,3,,3
PBA_78,131,San Miguel,72018,2,N,62,7,,3
PBA_79,131,San Miguel,72019,2,N,62,8,,3
PBA_80,131,San Miguel,72026,2,N,62,16,,3
PBA_81,131,San Miguel,72027,2,N,62,17,,1
PBA_82,131,San Miguel,72030,2,N,62,20,,3
PBA_83,131,San Miguel,72031,2,N,62,21,,3
PBA_84,131,San Miguel,72032,2,N,62,22,,3
PBA_85,131,San Miguel,72035,2,N,63,1,,3
PBA_86,131,San Miguel,72038,2,N,63,4,,3
PBA_87,131,San Miguel,72039,2,N,63,5,,3
PBA_88,131,San Miguel,72040,2,N,63,6,,3
PBA_89,131,San Miguel,72042,2,N,63,8,,3
PBA_90,131,San Miguel,72045,2,N,63,11,,3
PBA_91,131,San Miguel,72046,2,N,63,12,,3
PBA_92,131,San Miguel,72048,2,N,63,14,,3
PBA_93,131,San Miguel,72050,2,N,63,16,,3
PBA_94,131,San Miguel,72051,2,N,63,17,,3
PBA_95,131,San Miguel,72052,2,N,63,18,,3
PBA_96,131,San Miguel,72053,2,N,63,19,,3
PBA_97,131,San Miguel,72055,2,N,63,21,,3
PBA_98,131,San Miguel,72056,2,N,63,22,,3
PBA_99,131,San Miguel,72057,2,N,63,23,,3
PBA_100,131,San Miguel,72058,2,N,63,24,,3
PBA_101,131,San Miguel,72059,2,N,63,25,,3
PBA_102,131,San Miguel,72060,2,N,63,26,,3
PBA_103,131,San Miguel,72061,2,N,64,1,,1
PBA_104,131,San Miguel,72063,2,N,64,3,,3
PBA_105,131,San Miguel,72064,2,N,64,4,,3
PBA_106,131,San Miguel,72065,2,N,64,5,,3
PBA_107,131,San Miguel,72066,2,N,64,6,,3
PBA_108,131,San Miguel,72067,2,N,64,7,,3
PBA_109,131,San Miguel,72068,2,N,64,8,,3
PBA_110,131,San Miguel,72069,2,N,64,9,,3
PBA_111,131,San Miguel,72071,2,N,64,11,,3
PBA_112,131,San Miguel,72073,2,N,64,13,,3
PBA_113,131,San Miguel,72074,2,N,64,14,,1
PBA_114,131,San Miguel,72075,2,N,64,15,,3
PBA_115,131,San Miguel,72077,2,N,64,17,,3
PBA_116,131,San Miguel,72078,2,N,64,18,,3
PBA_117,131,San Miguel,72079,2,N,64,19,,3
PBA_118,131,San Miguel,72083,2,N,64,23,,3
PBA_119,131,San Miguel,72084,2,N,64,24,,3
PBA_120,131,San Miguel,72085,2,N,64,25,,3
PBA_121,131,San Miguel,72086,2,N,64,26,,3
PBA_122,131,San Miguel,72087,2,N,65,1,,3
PBA_123,131,San Miguel,72088,2,N,65,2,,3
PBA_124,131,San Miguel,72090,2,N,65,4,,3
PBA_125,131,San Miguel,72092,2,N,65,6,,3
PBA_126,131,San Miguel,72093,2,N,65,7,,3
PBA_127,131,San Miguel,72097,2,N,65,11,,3
PBA_128,131,San Miguel,72098,2,N,65,12,,3
PBA_129,131,San Miguel,72100,2,N,65,14,,3
PBA_130,131,San Miguel,72101,2,N,65,15,,3
PBA_131,131,San Miguel,72108,2,N,65,22,,3
PBA_132,131,San Miguel,72111,2,N,65,25,,3
PBA_133,131,San Miguel,72112,2,N,65,26,,3
PBA_134,131,San Miguel,72114,2,N,66,2,,3
PBA_135,131,San Miguel,72115,2,N,66,3,,3
PBA_136,131,San Miguel,72119,2,N,66,7,,3
PBA_137,131,San Miguel,72120,2,N,66,8,,3
PBA_138,131,San Miguel,72122,2,N,66,10,,3
PBA_139,131,San Miguel,72123,2,N,66,11,,3
PBA_140,131,San Miguel,72124,2,N,66,12,,3
PBA_141,131,San Miguel,72126,2,N,66,14,,3
PBA_142,131,San Miguel,72128,2,N,66,16,,3
PBA_143,131,San Miguel,72130,2,N,66,18,,1
PBA_144,131,San Miguel,72132,2,N,66,20,,3
PBA_145,131,San Miguel,72134,2,N,66,22,,3
PBA_146,131,San Miguel,72135,2,N,66,23,,3
PBA_147,131,San Miguel,72136,2,N,66,24,,3
PBA_148,131,San Miguel,72137,2,N,66,25,,3
PBA_149,131,San Miguel,72138,2,N,66,26,,3
PBA_150,131,San Miguel,72141,2,N,66,29,,3
PBA_151,131,San Miguel,72142,2,N,66,30,,3
PBA_152,131,San Miguel,72143,2,N,66,31,,1
PBA_153,131,San Miguel,72144,2,N,66,32,,3
PBA_154,131,San Miguel,72147,2,N,66,35,,3
PBA_155,131,San Miguel,72148,2,N,66,36,,3
PBA_156,131,San Miguel,72151,2,N,67,3,,3
PBA_157,131,San Miguel,72152,2,N,67,4,,3
PBA_158,131,San Miguel,72153,2,N,67,5,,3
PBA_159,131,San Miguel,72154,2,N,67,6,,3
PBA_160,131,San Miguel,72162,2,N,67,14,,3
PBA_161,131,San Miguel,72165,2,N,67,17,,3
PBA_162,131,San Miguel,72169,2,N,67,21,,3
PBA_163,131,San Miguel,72175,2,N,67,27,,3
PBA_164,131,San Miguel,72176,2,N,67,28,,3
PBA_165,131,San Miguel,72177,2,N,67,29,,3
PBA_166,131,San Miguel,72178,2,N,67,30,,3
PBA_167,131,San Miguel,72180,2,N,67,32,,3
PBA_168,131,San Miguel,72182,2,N,67,34,,3
PBA_169,131,San Miguel,72183,2,N,67,35,,3
PBA_170,131,San Miguel,63712,2,K,75,18,,3
PBA_171,131,San Miguel,72221,2,N,79,4,,3
PBA_172,131,San Miguel,72222,2,N,79,5,,3
PBA_173,131,San Miguel,72223,2,N,79,6,,3
PBA_174,131,San Miguel,72224,2,N,79,7,,3
PBA_175,131,San Miguel,72225,2,N,79,8,,3
PBA_176,131,San Miguel,72226,2,N,79,9,,3
PBA_177,131,San Miguel,72227,2,N,79,10,,3
