Propiedad_ID,Descripción,Dirección oficial,Ubicación,Localidad,Lat,Long,Direcciones secundarias,Fuentes disponibles,Categoría de uso
PROP_0001,Basílica ESPIRITU SANTO,PARAGUAY 3901,📍maps,CABA,-34.589.396,-5.841.806,"MANSILLA, LUCIO NORBERTO, GENERAL 3851 | MANSILLA, LUCIO NORBERTO, GENERAL 3847 | MANSILLA, LUCIO NORBERTO, GENERAL 3855","Templos, Eduardo","Parroquia y anexos, Cedidos a terceros"
PROP_0002,Basílica SAN FRANCISCO,"ALSINA, ADOLFO 380",📍maps,CABA,-34.610.158,-58.371.766,,Templos,Parroquia y anexos
PROP_0003,Iglesia SAN BONIFACIO Y SAN VICENTE PALLOTTI,CUBA 2981,📍maps,CABA,-34.552.921,-58.462.396,,Templos,Parroquia y anexos
PROP_0004,Iglesia SAN FRANCISCO de SALES,BELGRANO 3863,📍maps,CABA,-34.615.774,-58.420.963,,Templos,Parroquia y anexos
PROP_0005,Iglesia SAN JOSE,GURRUCHAGA 1010,📍maps,CABA,-34.593.441,-5.843.573,,Templos,Parroquia y anexos
PROP_0006,Iglesia SAN JOSE,HUMBERTO 1° 1340,📍maps,CABA,-3.462.114,-58.385.129,,Templos,Parroquia y anexos
PROP_0007,Iglesia SAN JUAN BAUTISTA,"ALSINA, ADOLFO 824",📍maps,CABA,-34.610.595,-58.378.023,,"Índice GCBA, Templos, Eduardo",Parroquia y anexos
PROP_0008,Iglesia SAN JUAN BAUTISTA de la SALLE,RIOBAMBA 650,📍maps,CABA,-34.601.473,-58.394.213,,Templos,Parroquia y anexos
PROP_0009,Iglesia SAN MARCELINO CHAMPAGNAT,MONTEVIDEO 1050,📍maps,CABA,-34.596.612,-58.389.908,,Templos,Parroquia y anexos
PROP_0010,Iglesia SAN PABLO APOSTOL,NAZCA 4249,📍maps,CABA,-34.589.597,-58.499.127,,Templos,Parroquia y anexos
PROP_0011,Iglesia SANTA CATALINA de SIENA,SAN MARTIN 705,📍maps,CABA,-3.459.967,-5.837.406,,Templos,Parroquia y anexos
PROP_0012,Basílica SAN JOSE DE FLORES,RIVADAVIA AV. 6950,📍maps,CABA,-3.462.913,-58.463.338,"PESCADORES 67 | FALCON, RAMON L.,CNEL. 2453","Índice GCBA, Relevamiento, Templos, Eduardo",Parroquia y anexos
PROP_0013,Iglesia SANTA FELICITAS,ISABEL LA CATOLICA 520,📍maps,CABA,-34.637.214,-58.373.599,ISABEL LA CATOLICA y PINZON,"Índice GCBA, Templos, Eduardo",Parroquia y anexos
PROP_0014,Iglesia SANTA FRANCISCA ROMANA,SAN MARTIN AV. 5555,📍maps,CABA,-3.459.691,-58.495.275,,Templos,Parroquia y anexos
PROP_0015,Iglesia SANTA MARIA MAZARELLO,"GARAY, JUAN DE AV. 4353",📍maps,CABA,-3.463.222,-58.424.893,,Templos,Parroquia y anexos
PROP_0016,Iglesia SANTA TERESA de JESUS,POTOSI 4049,📍maps,CABA,-34.607.219,-58.423.912,,Templos,Parroquia y anexos
PROP_0017,Iglesia SANTA TERESA de JESUS,TUCUMAN 3029,📍maps,CABA,-34.601,-58.408.119,,Templos,Parroquia y anexos
PROP_0018,Iglesia SANTA TERESA del NIÑO JESUS,EZEIZA 3054,📍maps,CABA,-34.577.797,-58.512.527,,Templos,Parroquia y anexos
PROP_0019,Iglesia SANTO CRISTO,VILLANUEVA 933,📍maps,CABA,-34.568.516,-58.438.833,VILLANUEVA 905 | VILLANUEVA 955,"Templos, Eduardo",Parroquia y anexos
PROP_0020,Iglesia SANTOS MARTIRES COREANOS,THORNE 1261,📍maps,CABA,-34.637.802,-58.446.878,THORNE 1279 | THORNE 1281 | THORNE 1277 | THORNE 1269,"Índice GCBA, Templos, Eduardo",Parroquia y anexos
PROP_0021,Iglesia SEÑOR de la BUENA ESPERANZA,"VALLESE, FELIPE 2539",📍maps,CABA,-3.462.164,-58.468.057,,Templos,Parroquia y anexos
PROP_0022,Parroquia ASUNCION DE LA SANTISIMA VIRGEN,GAONA AV. 2798,📍maps,CABA,-34.616.306,-58.465.508,GAONA AV. 2194 | GAONA AV. 2198,"Relevamiento, Templos, Eduardo",Parroquia y anexos
PROP_0023,Basílica SAN NICOLAS DE BARI,SANTA FE AV. 1352,📍maps,CABA,-34.595.791,-58.386.535,SANTA FE AV. 1354 | SANTA FE AV. 1370,"Relevamiento, Templos, Eduardo",Parroquia y anexos
PROP_0024,Parroquia BUEN PASTOR,"ARANGUREN, JUAN F., DR. 691",📍maps,CABA,-34.614.335,-58.442.114,"ARANGUREN, JUAN F., DR. 693 | ARANGUREN, JUAN F., DR. 701","Índice GCBA, Templos, Eduardo",Parroquia y anexos
PROP_0025,Parroquia CORAZON DE JESUS,"PAZ, GRAL. AV. 5370",📍maps,CABA,-34.575.482,-58.511.539,"PAZ, GRAL. AV. 5306 | PAZ, GRAL. AV. 5310 | PAZ, GRAL. AV. 5316","Relevamiento, Templos, Eduardo",Parroquia y anexos
PROP_0026,Parroquia CORPUS DOMINI,ALBARIÑO 256,📍maps,CABA,-34.641.029,-58.508.466,,"Relevamiento, Templos, Eduardo",Parroquia y anexos
PROP_0027,Parroquia CRISTO MAESTRO,MERCEDES 1630,📍maps,CABA,-34.619.719,-58.494.724,MERCEDES 1632,"Índice GCBA, Templos, Eduardo",Parroquia y anexos
PROP_0028,Parroquia CRISTO OBRERO,SN - VILLA 31,📍maps,CABA,,,,Templos,Parroquia y anexos
PROP_0029,Parroquia CRISTO OBRERO Y SAN BLAS,LAFUENTE 3242,📍maps,CABA,-34.663.096,-58.438.262,,"Relevamiento, Templos, Eduardo","Parroquia y anexos, Escuela, Cedidos a terceros"
