grupo_equiv,id_propiedad_A,id_origen_A,direccion_origen_A,id_propiedad_B,id_origen_B,direccion_origen_B,tipo,comentario,activa
1,PROP_0026,ENTES_99,ALBARIÑO 256,PROP_0643,Eduardo_276,GARCIA DE COSSIO 5550,automático,"descripción oficial similar (similitud=1, distancia=99m)",sí
2,PROP_0030,ENTES_103,ZAMUDIO 5551,PROP_0646,Eduardo_281,COCHRANE 2371,automático,"descripción oficial similar (similitud=1, distancia=61m)",sí
3,PROP_0047,ENTES_118,ESCALADA AV. 2350,PROP_0655,Eduardo_305,ESCALADA AV. y ZUVIRIA,automático,"descripción oficial similar (similitud=1, distancia=81m)",sí
4,PROP_0048,TEMPLOS_142,MIRALLA 3838,PROP_0763,ENTES_119,MIRALLA 3833,automático,"descripción oficial similar (similitud=1, distancia=31m)",sí
5,PROP_0076,ENTES_145,"SASTRE, MARCOS 6115",PROP_0708,Eduardo_482,BRUSELAS 1022,automático,"descripción oficial similar (similitud=1, distancia=39m)",sí
6,PROP_0089,ENTES_148,GRECIA 4328,PROP_0826,Relev_21,GRECIA 4370,automático,"descripción oficial similar (similitud=1, distancia=17m)",sí
7,PROP_0113,TEMPLOS_201,RUIZ HUIDOBRO 3521,PROP_0701,Eduardo_46,MELIAN AV. y RUIZ HUIDOBRO,automático,"descripción oficial similar (similitud=1, distancia=58m)",sí
8,PROP_0115,Alquileres_53,CONDARCO 545,PROP_0398,SMP_126,AVELLANEDA AV. 2667,automático,"descripción oficial similar (similitud=1, distancia=68m)",sí
9,PROP_0124,ENTES_163,ELCANO AV. 3253,PROP_0410,Eduardo_557,ELCANO AV. 3265,automático,"descripción oficial similar (similitud=1, distancia=9m)",sí
10,PROP_0135,ENTES_171,ESTERO BELLACO 6943,PROP_0474,Eduardo_383,ESTERO BELLACO 6939,automático,"descripción oficial similar (similitud=1, distancia=8m)",sí
11,PROP_0139,ENTES_173,"BORGES, JORGE LUIS 1855",PROP_0678,Eduardo_388,NICARAGUA 4835,automático,"descripción oficial similar (similitud=1, distancia=77m)",sí
12,PROP_0149,ENTES_180,NUEVA YORK 4717,PROP_0682,Eduardo_397,"CARRIL, SALVADOR MARIA DEL AV. 4746",automático,"descripción oficial similar (similitud=1, distancia=85m)",sí
13,PROP_0174,TEMPLOS_260,PLAZA 1160,PROP_0741,Eduardo_555,CHARLONE 1850,automático,"descripción oficial similar (similitud=1, distancia=40m)",sí
