Eduardo ID,Propiedad ID,N° de Carpeta,Nro de parcela,Dirección,Localidad,Dirección normalizada,Destino,Categoría tipo,Categoría uso,Descripción del Inmueble,Observaciones,Dirección OFICIAL,Fecha de adquisición,Año adquisición,Observaciones.1,N° de Partida,Comentarios
Eduardo_1,PROP_0069,648.0,,Aime Paine 1698,C.A.B.A.,"PAINE, AIME 1698","A construir : Casa Parroquial, vivienda para sacerdotes, colegio parroquial de Ntra. Sra. De la Esperanza",Inmueble,Parroquia y anexos,Parroquia Nuestra Señora de la Esperanza,Parroquia Nuestra Señora de la Esperanza,"PAINE, AIME 1680",09/11/2001,2001,Escritura Nº 339; Folio 896; Registro Nº 311 Circ: 21; Sección 98; Manzana 1R Registro de la Propiedad FRE 21-76 (19-12-2001),457332,
Eduardo_2,PROP_0377,679.0,,Escalada Av. 2921,C.A.B.A.,ESCALADA AV. 2921,Actividades Pastorales del Centro Misio- nero San Juan Diego,Inmueble,Parroquia y anexos,Propiedad dependiente de la PARROQUIA SAN JUAN DIEGO CUAUHTLATOATZIN,,,16/01/2007,#VALUE!,Circ: 1; Sección 66; Manzana 90 ; Parcela 33,,
Eduardo_3,PROP_0287,62.0,,"Alsina, Adolfo 500/Bolivar 218",C.A.B.A.,"ALSINA, ADOLFO 500",Alquilada,Inmueble,Comerciales,Propiedad Comercial del Arzobispado,,,21/11/1963,#VALUE!,,215347,
Eduardo_4,PROP_0365,474.0,,Rioja 530,C.A.B.A.,LA RIOJA 530,Alquilada,Inmueble,"Comerciales, en Juicio",Propiedad Comercial del Arzobispado,En Juicio.,,,NS,,193457,
Eduardo_5,PROP_0332,566.0,,Callao Av. 801/77,C.A.B.A.,CALLAO AV. 801,Alquilado,Inmueble,Comerciales,Propiedad Comercial del Arzobispado,,,,NS,,,
Eduardo_6,PROP_0511,726.0,,Barzana 2025/27 e/Juramento y Mendoza,C.A.B.A.,BARZANA 2025,"Anunciación)  Colegio Ntra. Sra, de la Anunciación (jardín)",Inmueble,Escuela,COLEGIO PARROQUIAL NUESTRA SEÑORA DE LA ANUNCIACION,,,15/12/2011,#VALUE!,Circ: 16; Sección 51; Manzana 30; Parcela 12,,
Eduardo_7,PROP_0656,463.0,,Alvarez 1801/9,C.A.B.A.,"ALVAREZ, DONATO, TTE. GRAL. AV. 1801",Apostolado de Señoras de la Parroquia de Las Heras,Inmueble,Cedidos a terceros,Propiedad dependiente de la COMUNIDAD FRATERNA DE GUADALUPE,"Pertenece a Arzobispado por préstamo de Personería.  Pertenece a COFRAGUA de Guadalupe, es CONGREGACIONAL",,13/01/1959,#VALUE!,( Ver 462/464),,
Eduardo_8,PROP_0290,22.0,,Rivadavia 413/23,C.A.B.A.,RIVADAVIA AV. 413,Arzobispado,Inmueble,"Comerciales, Instituciones diocesanas propias",Propiedad Comercial del Arzobispado,se alquilan todas unidades salvo Canal 21 ,,21/06/1960,#VALUE!,Circ: 14; Sección 1; Manzana 33; Parcela6,220298,
Eduardo_9,PROP_0294,257.0,,Rivadavia 437,C.A.B.A.,RIVADAVIA AV. 437,Arzobispado,Inmueble,"Instituciones diocesanas propias, Comerciales",Propiedad Comercial del Arzobispado,Estacionamiento y Garage Alquilado y Playón Patio Arzobispado,,,NS,,220299,
Eduardo_10,PROP_0350,478.0,,Còrdoba Av. 2561/65,C.A.B.A.,CORDOBA AV. 2561,Arzobispado de Buenos Aires,Inmueble,Comerciales,Propiedad Comercial del Arzobispado,,,,NS,Alquilada,3072403; 441067,
Eduardo_11,PROP_0371,491.0,,México 642/44,C.A.B.A.,MEXICO 642,Arzobispado de Buenos Aires,Inmueble,"Comerciales, en Juicio",Propiedad Comercial del Arzobispado,En Juicio,,,NS,Alquilada,215802,
Eduardo_12,PROP_0325,725.0,,Avellaneda Av. 1124/26/28/30/32/34,C.A.B.A.,AVELLANEDA 1124,Arzobispado de Buenos Aires,Inmueble,Comerciales,Propiedad Comercial del Arzobispado,,,22/03/2012,#VALUE!,Circ: 5 ; Sección 57; Manzana 39 A; Pacela 4 C,,
Eduardo_13,PROP_0512,745.0,,Pasaje Beyrouth 4945 e/ Bermudez y Cervantes :,C.A.B.A.,BEYROUTH 4945,Arzobispado de Buenos Aires,Inmueble,Comerciales,Propiedad Comercial del Arzobispado,,,07/12/2011,2011,Circ: 15; Sección 85; Manzana 33 B; Parcela 25,,
Eduardo_14,PROP_0369,753.0,,Maipú 730/32/38/40/42 Planta Baja;1º;2º; 3º y 4º piso U.F.5 (entre Viamonte y Córdoba),C.A.B.A.,MAIPU 730,Arzobispado de Buenos Aires,Inmueble,Comerciales,Propiedad Comercial del Arzobispado,,,23/05/2018,#VALUE!,Circ.14; Sección 1; Manzana 16; Parcela 25A,,
Eduardo_15,PROP_0338,786.0,,"Charcas 3153/55/57/59 1º ""F""",C.A.B.A.,CHARCAS 3153,Arzobispado de Buenos Aires,Inmueble,Comerciales,Propiedad Comercial del Arzobispado,,,30/06/2020,#VALUE!,,,
Eduardo_16,PROP_0318,757.0,,"Amenabar 3141 7º ""A""",,AMENABAR 3141,Arzobispado de Buenos Aires - departamento para alquilar-,PH,Comerciales,Propiedad Comercial del Arzobispado,,,,NS,Alquilada,,
Eduardo_17,PROP_0291,771.0,,Portela 239 P.B. Dto. 2 y Unidad Complementaria CABA,,PORTELA 239,Arzobispado de Buenos Aires (Caritas Bs.As.),Inmueble,Cáritas,"Propiedad dependiente de Cáritas Bs. As,",,,19/09/2007,#VALUE!,,,
Eduardo_18,PROP_0375,740.0,,"Moreno 451/55/57/61 e/ Defensa y Bolivar Uf.25 Pº 3 ""D""",C.A.B.A.,MORENO 451,Arzobispado de Buenos Aires Departamento alquilado,Inmueble,Comerciales,Propiedad Comercial del Arzobispado,,,08/04/2010,2010,Circ.13-Sección 2-Manzana 42-Parcela 13,,
Eduardo_19,PROP_0339,274.0,,Charcas 3585,C.A.B.A.,CHARCAS 3585,Arzobispado de Buenos Aires Departamento para alquilar,PH,Comerciales,Propiedad Comercial del Arzobispado,,,24/10/1951,#VALUE!,,1072256,
Eduardo_20,PROP_0401,637.0,,La Facultad 1628,C.A.B.A.,LA FACULTAD 1628,Asociación Civil Jesús Amigo,Inmueble,Cedidos a terceros,Propiedad perteneciente a Asociación Civil Jesús Amigo ,Pertenece a Arzobispado por préstamo de Personería. ,,21/06/2000,#VALUE!,Circ: 1 ; Sección 54; Manzana 96 A; Parcela 9,25211,
Eduardo_21,PROP_0575,91.0,,Habana 4192/4,C.A.B.A.,HABANA 4192,Asociación de Beneficiarios Madres de Desamparados y San José de la Montaña,Inmueble,Cedidos a terceros,Propiedad pertenece a Asociacion Madres de Desamparados y San José de la Montaña,Pertenece a Arzobispado por préstamo de Personería. Es un Hogar de Ancianos.,,27/12/1949,#VALUE!,,430018,
Eduardo_22,PROP_0580,185.0,,Lascano esq. Bermudez,C.A.B.A.,LASCANO y BERMUDEZ,Ateneo Parroquia San Pedro Apostol,Inmueble,Parroquia y anexos,Propiedad dependiente de la Parroquia San Pedro Apostol,Es un Ateneo,,06/11/1933,1933,(Ver 37 y 410),453164,
Eduardo_23,PROP_0504,,,Doblas 1680 e/ Balbastro y Avelino Diaz,C.A.B.A.,DOBLAS 1680,Belén  Arzobispado de Buenos Aires,Inmueble,"Comerciales, a definir",Propiedad Comercial del Arzobispado,Actualmente  vive una familia de la Parroquia Caacupé Barracas. Referencia Padre Toto de Vedia.,,07/08/2013,2013,Circ.1-Sección 38-Manzana 119-Parcela 14,,
Eduardo_24,PROP_0066,36.0,,Tandil 2551,C.A.B.A.,TANDIL 2551,Capilla Juan XXIII,Inmueble,Parroquia y anexos,Capilla Juan XXIII dependiente de la parroquia Santa Francisca Javier Cabrini,,,21/12/1962,#VALUE!,,143329,
Eduardo_25,PROP_0586,145.0,,"Cruz, Osvaldo",C.A.B.A.,"CRUZ, OSVALDO S/N",Capilla María Auxiliadora,Inmueble,Parroquia y anexos,Capilla María Auxiliadora dependiente de la parroquia Natividad de María Santísima ,,,,NS,,,
Eduardo_26,PROP_0099,145.0,,Villarino s/n,C.A.B.A.,VILLARINO S/N,Capilla María Auxiliadora,Inmueble,Parroquia y anexos,Capilla María Auxiliadora,Esta dentro del Club San Lorenzo de Almagro (ver planilla detalle por denominación). Atiende Parroquia Madre del Pueblo (Bajo Flores),,,NS,,,
Eduardo_27,PROP_0001,425.0,,Mansilla 3847/55,C.A.B.A.,"MANSILLA, LUCIO NORBERTO, GENERAL 3847",Capilla Nuestra Señora de Guadalupe,Inmueble,"Parroquia y anexos, Cedidos a terceros",Parroquia Nuestra Señora de Guadalupe. Basílica Espiritu Santo,"Pertenece a Arzobispado por préstamo de Personería.  Es parroquia, Depende de Congregación del Verbo Divino. Es parroquia y basílica.",PARAGUAY 3901,,NS,(Ver 263),,
