excel_row_id,hoja,direccion,destino,fecha,carpeta,obs,n_partida
134,Letra C,Cangallo 3317/29/34 C.A.B.A.,Parroquia Tránsito de la Virgen,09/08/1957,4.0,,
496,Pcia. Bs. As. y Otras Pcias.,Coronel Suárez Pcia. Buenos Aires,Se debe hacer la cesión del terreno al Obispado de Bahía Blanca. En el lugar se erige una Parroquia,14/11/1956,25.0,,
415,Letra O,Otero 129 C.A.B.A.,Parroquia Todos Los Santos y Animas,20/07/1961,33.0,,
495,Pcia. Bs. As. y Otras Pcias.,Brandsen Coronel Pcia. Buenos Aires,No hay documentación de la propiedad en el Arzobispado,12/12/1951,47.0,,
474,Pcia. Bs. As. y Otras Pcias.,25 de Mayo 327 e/9 de Julio y Belgrano San Isidro Pcia. Buenos Aires,Anexo del Instituto de Cultura Superior,19/10/1962,59.0,(Ver 285),
488,Pcia. Bs. As. y Otras Pcias.,Partido de Magdalena Pcia. Buenos Aires,Casco de la Estancia Santa Rita Se encuentra arrendado,13/09/1954,60.0,,
520,Letra R,Rodriguez Peña 802/11/32/35/41/ 71/79/81/87 C.A.B.A.,Pertenece a las manzanas que posee el Arzobispado desde Callao hasta Montevideo y desde Córdoba a Paraguay,,61.0,,
121,Letra B,Bruselas 1022 C.A.B.A.,"Parroquia, Casa Parroquial, Templo y Salón de Nuestra Señora de Salud",29/04/1949,73.0,Circ: 15; Lote 23; Manzana 5,
490,Pcia. Bs. As. y Otras Pcias.,Partido de Laprida Pcia. Buenos Aires,Campo arrendado,23/10/1940,100.0,(Ver 369/631/632),
189,Letra CH,Chutro 4335/41/43 C.A.B.A.,Parroquia Jesús de Nazareth,27/03/1942,125.0,(Ver 271),
435,Letra P,Patagones 4335/41/43 C.A.B.A.,Parroquia Jesús de Nazareth,,125.0,,
449,Letra P,Pico 4950/62 C.A.B.A.,Santa Margarita María de Alacoque,,126.0,,
448,Letra P,Picheuta 1057/65 C.A.B.A.,Parroquia Santa Isabel de Hungría,15/04/1940,127.0,,
442,Letra P,"Perez, Roque  4364 C.A.B.A.",Presentación del Señor,04/10/1939,138.0,,
524,Letra R,Ruiz Huidobro 3501/91 C.A.B.A.,Parroquia Presentación del Señor,13/06/1939,139.0,(Ver 334),
41,Letra A,Andalgala S/N entre Rodó y Chascomús C.A.B:A,Parroquia San Felipe Neri,19/05/1927,169.0,,
62,Letra A,Avellaneda Av. 2655 C.A.B.A.,Hermandad de Animas de San Nicolás de Bari,28/09/1942,174.0,,
124,Letra C,"Cabezón,José León 3350/58 C.A.B.A.",Parroquia Jesús de la Buena Esperanza,03/12/1928,188.0,,
239,Letra E,Estrada 823/33 C.A.B.A.,Parroquia Santa Isabel,04/04/1932,208.0,,
229,Letra E,Escalada 2350/62 C.A.B.A.,Parroquia Mater Dei,11/02/1936,209.0,"El inmueble , pertenece a Los Padres Oblatos de María | Inmaculada",58232 ?
95,Letra B,"Bilbao, Francisco Av. 3474/76","Parroquia , Casa Parroquial,Templo y",03/10/1928,212.0,,
55,Letra A,"Artigas, José G. Gral. 2040/52/56 C.A.B.A.",VENDIDA,06/11/1976,215.0,VENDIDA,
293,Letra J,Juncal e/ Larrea y Pueyrredón C.A.B.A.,Parroquia Santísimo  Redentor,24/08/1915,224.0,(Ver 97),
230,Letra E,Escalada s/n (entre Echeandía y Zuviría) C.A.B.A.,Parroquia Madre de Dios,28/07/1937,225.0,,
384,Letra M,"Montes de Oca, Manuel Augusto Av. 76 C.A.B.A.",Parroquia Santa Lucía,,230.0,,
408,Letra N,Nueva York 4715/17 C.A.B.A.,Casa ; Templo San Juan Bautista,10/08/1933,235.0,,
339,Letra L,"Lozano, Pedro 3151 C.A.B.A.","Casa , Escuela y Parroquia Santa Ana",31/12/1923,249.0,,
446,Letra P,Pergamino 940/46 C.A.B.A.,Parroquia Nuestra Señora de Luján Porteño,01/04/1929,250.0,,
460,Letra P,Primera Junta 4083/95 CABA,Parroquia Santos Sabino y Bonifacio,28/09/1931,259.0,,
